email,password,academic_field_id,GPA,work,short_break,long_break
dclampeay@upenn.edu,2nfQCDG6FSHE,3,92.2,27,7,21
ecanavanaz@taobao.com,aCvzMsvSWq5x,5,81.3,47,7,27
rsuscensb0@google.com.br,5CNB34Qqd,6,73.6,23,7,10
fstegellb1@studiopress.com,dwPubIUoW,2,79.2,31,3,13
fsorsbieb2@e-recht24.de,F1ieb4k,4,73,31,5,21
eskokoeb3@google.es,MvMBthbWv2U,3,82.9,20,4,18
dbaldwinb4@wix.com,CGHrqh,9,93.3,43,4,24
umclaineb5@netvibes.com,9YsCkdNtsc7,9,99.8,34,2,23
gbruggerb6@scientificamerican.com,llU7DXYFY,10,87.2,23,7,20
mbrunellib7@diigo.com,pht5l5eD,4,96.6,38,6,16
rhousenb8@zimbio.com,Nh3bCabo,12,82,34,4,21
jizaacb9@cocolog-nifty.com,7ys7aLoNd,7,92.4,44,7,15
mmacginlayba@nba.com,My6q9N4b0,4,95.5,25,3,23
mdenidgebb@seesaa.net,7QY3APJ4YMi,9,93.8,44,1,21
asoaresbc@devhub.com,PxGBYOadxR71,9,83.4,20,5,15
rallixbd@wikipedia.org,XmQjUPa,2,85.9,23,5,12
bcovellebe@about.me,eq8pqP,5,99.5,49,7,21
lmccaffertybf@comcast.net,58sQXl,9,74.1,36,2,27
sleybanbg@economist.com,IqF1VxPdf1i,1,78.1,45,7,26
lgardbh@cyberchimps.com,iyS45l,7,71.8,20,7,27
cscamadenbi@yale.edu,il9Ym0XI,7,95.6,31,5,26
wouldcottbj@g.co,tshxl4Zne,4,69.4,30,5,23
alawrancebk@telegraph.co.uk,RvDYs03xgZ,5,83.8,44,4,26
hlivettbl@ebay.com,5Ilnm5fDfgS,8,72.2,22,2,17
tlorenzettibm@scribd.com,P2Ziz5bn3,8,80.3,29,4,11
vtallisbn@usa.gov,eClRNQmRv6t,11,81,43,4,12
bfrancklinbo@army.mil,u4caS9uaEdgi,8,90.6,23,7,22
jsnowdonbp@ox.ac.uk,zuh8w609d,12,75.8,27,7,18
cgolsbybq@tumblr.com,8MNRWtj,4,77.6,48,5,12
lpetrulisbr@apache.org,1HbZXzq,12,71.1,48,7,24
llowtherbs@studiopress.com,MmpAMI1LwrqO,11,94.9,40,4,24
mlevecquebt@ebay.co.uk,eyRvwd,10,87.5,23,6,27
ttathambu@guardian.co.uk,5kUAZlk,3,80,31,2,23
hbalselliebv@mac.com,CCpBYD,3,71.1,33,1,20
rsparshottbw@imgur.com,J56k9s,5,86.7,38,7,24
lmethvenbx@blog.com,AMSfMyC,7,85.5,38,1,24
mbehrendby@mapy.cz,rXw0MDgngsV9,3,88.3,34,3,28
bcleavesbz@nsw.gov.au,rrAiRZgM,7,81.5,26,5,10
kfilliskirkc0@jigsy.com,AMhYpMrxMCNl,2,80.6,31,6,19
kbillhamc1@phpbb.com,HiQPcSHO7,4,97.1,29,2,19
brainsburyc2@weather.com,7V3g4G,3,92.9,22,6,15
cpreshousc3@spiegel.de,BdhI1RtKjo4,7,93.8,32,3,21
kfyallc4@npr.org,HpCCiCOK8xnr,8,76.9,21,3,24
ivandervliesc5@tripod.com,b3ngwfW67Vj1,7,94.6,28,6,14
ctyddc6@nbcnews.com,MYkz6eu6HFiP,2,74.8,48,3,26
fkortc7@google.es,xBJfMkPg6j,7,85.8,35,7,23
mkediec8@samsung.com,N6CtuKJMERV4,10,76.8,42,2,26
rmcauleyc9@gizmodo.com,WuOasm,4,80,39,6,18
adezuanica@tmall.com,6kyfxe42,9,85,42,1,11
kbartkowiakcb@mac.com,Cq6laPU7,12,82.5,20,6,15
mbreitlingcc@paypal.com,33EuIuvU7JI,5,80.2,46,3,10
milymanovcd@gov.uk,A5l7nzZ6qf,3,91.9,24,5,29
mchannonce@dot.gov,cbuqx5zrEaF,12,87.9,49,4,19
labbacf@wordpress.com,f6qWs1Ts4BGs,11,85.3,27,7,12
ttomasellocg@aol.com,ca8FZUiBMgX,2,93.4,30,4,24
jtrengrousech@sitemeter.com,pROYVF1Y,1,71.7,26,2,22
nbuxyci@amazon.de,ttn3BlUcn9KK,1,91.7,38,5,12
kmingayecj@mapquest.com,PgACKjCdXoEZ,9,86.6,46,2,21
gmacksteadck@drupal.org,kJlrOuT,7,96.3,28,1,16
vhuetcl@cnbc.com,guOarOB,2,100,37,1,30
cdruittcm@php.net,DlitaLVCJ0q,11,67.2,36,3,30
tscarfcn@merriam-webster.com,2g7ZTwcQwSS,11,82.1,26,4,22
clandeauxco@pinterest.com,USSksmITurA9,4,99.8,27,7,10
kkeydencp@thetimes.co.uk,sh59zi4a,2,99.9,35,4,25
kashlingcq@si.edu,cFunkCIo,10,80.9,50,2,12
lchstneycr@ca.gov,c12ooXu,9,82,25,3,24
esheehancs@comcast.net,2gfiA4gx,9,68,21,2,29
dwyperct@icio.us,Mvmwd3,7,70.8,25,6,17
leacottcu@baidu.com,AP84H9,10,91.8,27,7,25
ftrevainscv@intel.com,Q0svy4GeI,3,70.1,31,5,12
dburrellcw@diigo.com,pkHt30KmJ,2,90.4,46,7,19
ejacobowitzcx@youtube.com,qJNC6syY,2,87.2,49,1,17
ssedwickcy@etsy.com,9KbxllQYAie,5,78.8,24,1,13
chowsleycz@loc.gov,PZfkcjG,1,100,35,6,24
jstrathearnd0@globo.com,nFQN6abP4awa,11,95.4,22,6,14
mnavarred1@spiegel.de,Qn2pykF,7,91.7,28,2,26
lcardinaled2@ycombinator.com,aC49cPU2,8,69,37,1,12
ntandeyd3@patch.com,EvVhakmgww3,9,92.9,45,6,29
olellod4@shinystat.com,huhnDhqi3Xng,5,96.3,20,6,12
bphilpd5@nih.gov,jbh5NhZde,6,94.6,36,3,28
lpendred6@usgs.gov,hrZmRtVpKa,9,99.6,33,2,12
dchansonnaud7@utexas.edu,mJtmY6zPpe,12,81.5,46,7,28
efourmand8@t.co,KtCS3234l3d5,7,81.1,38,7,17
rperrymand9@sogou.com,ZDFxg5Q6o,6,68.2,24,3,15
vsegerda@nbcnews.com,L1eeO49h,6,86.2,38,3,12
sbreederdb@earthlink.net,ubd3ewNWO,7,88.4,27,2,29
tchicchellidc@ihg.com,hnUOId9,11,87.2,27,7,11
rgrinyovdd@tiny.cc,pycFXp,1,79.2,50,6,16
ccoughlinde@digg.com,1bVyhN8mr,12,77.4,25,7,22
dmatanindf@disqus.com,X2y60uiK,7,68,31,1,11
nkerranedg@princeton.edu,xff0Yr,10,75.6,23,4,20
ssatyforddh@csmonitor.com,954Wml1AV,8,71.9,37,4,11
rsleneydi@eepurl.com,MkrdTDwcz8,10,90,44,6,18
cbalderstondj@parallels.com,1XmFP1DQl,11,91.6,22,7,27
kmolinesdk@wikimedia.org,MgVbohAb5B,8,81.1,25,1,19
alacroixdl@linkedin.com,JWcevQ5m8Q7,8,91.2,30,2,10
clivendm@mtv.com,Fc1ul5RHPYnx,1,92.8,32,6,16
gcinodn@mapy.cz,c0JAzPhiLig4,6,99.3,45,5,24
asebastiando@scientificamerican.com,1JcvWe8Yn1b,4,79.9,45,2,14
rwitchelldp@hibu.com,6N1Q3r4okD9,4,96.3,26,4,11
lkleinhandlerdq@usda.gov,u0PjGpmJ,1,81.4,42,5,22
bjerochdr@usnews.com,Pnmk7R,6,89.4,30,5,21
dchalonerds@domainmarket.com,AW5A2beo,8,83.1,30,7,21
cantuonidt@bloomberg.com,ACoEtsm2L4qV,12,86.4,25,3,25
myurovdu@cafepress.com,9FnAR3dyT,6,93.7,26,3,14
lfrankowskidv@pinterest.com,DUqykm,8,80.9,43,1,20
lsnoddydw@facebook.com,3CwN7kLGtOy,10,98.5,47,2,25
jfinnemoredx@1688.com,BmNOET6,2,76.7,25,6,12
eesliedy@paginegialle.it,EFp1a3HMetyj,7,98.8,45,1,20
iroscherdz@imageshack.us,1I6cvajmT,12,90.7,47,2,21
mbeacocke0@hatena.ne.jp,DBhH2F5fwt,7,89.8,35,5,10
rsmurthwaitee1@prweb.com,dv8kJC7AsXRp,10,90.1,50,7,14
kpirriee2@icq.com,zF4wjraFECQ,11,93.3,27,7,15
dvearncombee3@ucla.edu,J6SBNO,6,70,25,5,21
glowdere4@go.com,KSMwQP,7,97.7,44,3,29
vmaylinge5@cdc.gov,iaq2f54C,10,97.4,31,7,17
lshackleforde6@blogger.com,rQeoLbJmgIa6,12,96,49,1,14
tredforde7@ask.com,6sRIyYpK3,3,68.3,21,7,13
jfyrthe8@washington.edu,vCsVVPoDo8ZB,9,86.8,22,5,23
cgonsalvoe9@cnn.com,888k0XwDJf,8,87.3,20,3,18
scoppinsea@independent.co.uk,O4U0U4Y6,7,72,21,7,30
cmateeb@exblog.jp,qzZTrs1Aqyq,7,72.4,36,4,24
cligoeec@ycombinator.com,Cp8aVTUBMf,3,71.7,34,1,15
rmanzed@answers.com,FrZxr8Kde4,3,89.6,43,3,14
gotimonyee@wordpress.org,99vleBe,8,81.2,27,7,29
ndiclaudioef@ning.com,WmAbr5f,1,78.5,22,6,17
ecomminseg@stanford.edu,9DNddb5GY,5,86.9,22,1,20
agallahareh@sakura.ne.jp,3j2y98oi,9,91.7,40,5,20
lanningei@umich.edu,XaGyPJ,1,80.7,42,7,18
bbrendelej@studiopress.com,SFmBhU,9,91.4,30,4,14
agreenallek@auda.org.au,YQFumXs,11,95,38,2,24
dsliteel@twitpic.com,TeDdmAD,10,94.2,29,7,28
mjewiseem@forbes.com,nZtEPOFwB4,6,81.8,22,3,29
mleatheren@i2i.jp,HATacQ5,7,88.1,20,6,29
bfiloneo@noaa.gov,Po9dS422J,6,89.9,46,6,20
alardnarep@illinois.edu,7S5y7fUQTt,2,86.8,26,3,29
nwelbeloveeq@shareasale.com,A76OG9l,4,80.8,40,1,12
tvitlerer@tinyurl.com,DOMYZWD7,2,84,24,4,11
kblecklyes@opera.com,0khjP21c,5,70.9,43,6,25
oquigget@reference.com,pvwRvvFw,6,82.6,38,6,13
ckillbeyeu@indiatimes.com,33eh90MG,6,98.4,38,6,28
mpulfordev@hp.com,DzfPHigrrH,10,86.4,32,4,18
tangraveew@wix.com,JsSF9J4t79ZV,5,73.5,40,3,27
lwinchesterex@mac.com,ySGzhlVn1kis,9,75.8,34,6,28
lmoyseey@instagram.com,eE5jBkl,8,76.2,28,1,20
gspargoez@uol.com.br,5jP02HCXi4,10,78.6,30,6,24
cdaubneyf0@360.cn,ZZMlnLAu8S,4,97.6,35,6,17
ekeetsf1@slashdot.org,lCRtJTn4F,12,97.7,27,5,23
hweldf2@free.fr,lIbd3IKEz,11,72.8,32,4,23
abodef3@free.fr,8P7GRWr7czZ,8,81.3,48,4,13
swhittetf4@myspace.com,56rjSw1w78lC,5,91.8,40,3,17
glowseleyf5@icq.com,LvwtBC7U3,2,81.8,20,3,27
jsharkeyf6@cmu.edu,6RYmAz,5,88.5,37,4,22
alotsf7@businessweek.com,cyht0RiOCujU,9,77.7,34,2,14
pthumnelf8@google.com.br,yqlsyTwY96jG,3,91.7,49,5,20
bcrocettof9@exblog.jp,C2ltzu3A,9,85.3,35,2,18
nbishfa@gov.uk,AOKZCeq85zoM,4,68.5,23,6,23
fmurtellfb@uol.com.br,lRx34L7,7,80.8,22,2,27
sberardtfc@list-manage.com,461i3u5A2rte,8,80.5,34,7,30
cbarracloughfd@nytimes.com,Ja1dyLQd,6,95.6,49,7,21
areemefe@wikipedia.org,W7T95o,4,71.5,46,4,26
lneasamff@wordpress.org,ohT9zAUg,9,80.1,21,1,29
rfettersfg@chicagotribune.com,g1Cf0B21nnBk,2,84.6,41,5,18
lcohanfh@ovh.net,E9Jg76a,9,88.1,36,1,13
nyorkefi@noaa.gov,3Jfxk0,4,83.9,39,5,29
tserminfj@barnesandnoble.com,IhoDJt,5,72.6,29,6,12
mshwennfk@msn.com,KWenoz,4,84.4,20,4,21
dkubickafl@cbc.ca,RLjHkg,9,89.3,38,2,26
panfonsifm@zimbio.com,Fr9MeFZXm,8,89.3,48,7,29
atillyerfn@scribd.com,zhieSns,8,90.3,43,5,17
jmaskillfo@mac.com,zuRxbEM0s,9,98.5,31,1,27
sredhillsfp@indiegogo.com,R8K58w,1,82.3,20,6,29
avaunfq@adobe.com,y4fgL3WvqNN,8,78.6,48,7,13
cwillersonfr@prlog.org,eykeIKwuG,9,82.8,28,7,11
jjaherfs@nih.gov,oDKk41wvV,9,90.1,48,4,18
agomerft@microsoft.com,1bkgzE,4,99.8,37,2,12
mrolstonefu@aol.com,GCUeb7HbSP,9,85.7,42,6,19
sfauxfv@livejournal.com,ohLwG99m,3,84.7,23,1,25
cpawelfw@archive.org,6oYwuIF,11,94.8,50,6,18
dgrundfx@flavors.me,13yyQnd,3,67.1,39,7,17
mbrendfy@washingtonpost.com,Ix2KGgi,5,87.6,49,2,26
rswinfonfz@patch.com,qZOEYKnnSrr,1,88,40,6,30
bjanosevicg0@yolasite.com,xLovto,10,96.2,27,3,28
latyeag1@printfriendly.com,0DXTqjS,4,75.5,48,2,17
ggermaing2@blogtalkradio.com,ujGJ6tZBCyY,1,71.5,38,6,23
ttindleg3@elegantthemes.com,L9bjtHMTrM,9,80.7,26,3,15
gfibbitg4@cyberchimps.com,ALTBC6,5,85.8,30,3,18
charnottg5@gizmodo.com,F9dWLiBB,2,68.7,32,5,28
tdrifeg6@tiny.cc,TIqsIm,7,69.8,23,6,23
wcraythorng7@un.org,twAP8o2RFqzq,10,68.2,22,5,17
mcatog8@dailymotion.com,rry5AA0hes,8,83.9,40,1,12
ahebditchg9@1688.com,UwUqVMRJjAeY,3,78.3,49,4,30
gwarbeyga@chron.com,rxim4hWL,12,80.4,26,4,16
hparlettgb@forbes.com,DRGx7nX,5,74.4,36,5,14
amiccogc@biglobe.ne.jp,5QrvoLlwo,2,71.3,22,2,20
bgreenhallgd@privacy.gov.au,u63bICgq,8,90.2,34,7,25
dburrellge@ihg.com,Nzvigea,12,90.1,37,5,29
clinnygf@simplemachines.org,55hb52NbS,3,74.3,36,5,15
rlattimoregg@symantec.com,ub0dsi6CC,9,95.1,42,2,28
edartergh@flavors.me,cMk2t5l,8,96.4,31,4,17
cgentnergi@discuz.net,6yliJ3zkd1e,6,85.2,38,6,27
gspeddingj@plala.or.jp,2CKdP56,10,91.3,25,1,20
rborthgk@bing.com,J0oWRWp1E,7,90.8,31,7,15
jlivelygl@mozilla.com,ovTfzeLlia,7,80.6,31,2,28
jstubbleygm@t-online.de,zcsFoV,7,68.9,38,4,11
mbeneixgn@cdc.gov,vsQY7zWQXpJ,12,88.4,21,7,22
iwestneygo@google.co.uk,VdfmBU,5,76.9,49,6,29
adimitriougp@sciencedirect.com,nKjQyOa,11,92.2,22,4,26
cstrettlegq@histats.com,cqe7aRgIk,3,99.2,31,4,29
hshovellergr@wikimedia.org,yv3nR3gHtD7,4,80.8,26,2,15
spatronogs@howstuffworks.com,NuiAzmbWI,1,79.2,29,6,13
lwharingt@ca.gov,YADW5x,12,81.3,47,3,14
meiversgu@prlog.org,vhMQdSbmsmp,11,70.1,20,5,14
ohughsgv@ucsd.edu,t0SG6N8hXxl6,6,80.8,24,5,26
cblindermanngw@dropbox.com,JxEf57Bt,6,75.2,39,3,25
cerleygx@wunderground.com,NGjg1wj,2,95.2,26,6,30
kcanepegy@cnn.com,I8oYt8thK,9,72,43,5,15
kbagshawegz@ocn.ne.jp,7LPsxO,9,76.8,49,4,27
tlehrmannh0@feedburner.com,WKpIzLdaD,9,86.6,48,2,24
gwraighteh1@cdbaby.com,Hwmeqdzm,3,71.8,32,1,27
llefebreh2@homestead.com,xYBtD6bHJ0w,1,80.2,25,4,29
mbrownellh3@deviantart.com,GkutQal0dBp,3,93.7,25,4,17
htucknutth4@unicef.org,a3im08YImg,2,71,43,2,28
egraithh5@mac.com,0LOy74R,5,70.9,35,4,10
rhebbesh6@hc360.com,8W80ZexZ,8,82.4,31,3,14
ateasdalemarkieh7@bbb.org,CpFFEJc,1,73.6,25,6,11
trobuchonh8@t.co,5qNtjnL,7,82.7,40,1,30
cmanklowh9@imdb.com,VWTjDY463cB,5,99.3,44,5,10
ptinwellha@sina.com.cn,UWUGd9,3,95.4,20,1,15
ptolomeihb@list-manage.com,NLDjO73EVTc,5,88.7,24,2,13
dsteljeshc@storify.com,0t4ZzZ,10,68.2,31,1,12
ctaleshd@biblegateway.com,lt833kAblpp,11,71.1,28,2,12
dbrughhe@netlog.com,hIYzmAoEpRC,3,87,45,4,14
gasquithhf@indiatimes.com,5uHUVo,11,90.9,44,5,28
bioriohg@pagesperso-orange.fr,Pcoe1d,11,78.9,50,3,18
rpackingtonhh@blogs.com,AehFapRX,3,88.2,36,2,20
kjinkshi@yandex.ru,EDfoJlc,4,95.3,28,4,10
kserganthj@zimbio.com,lg5GsBa4,5,74.2,48,3,27
ggrundellhk@moonfruit.com,1ZrynW8rgSdn,4,79.2,20,4,25
jburgwynhl@paginegialle.it,lOqxcdG3b,11,73,40,7,29
akinglesydhm@biglobe.ne.jp,TNKd6h8l7,1,99,21,2,25
jlockehn@nydailynews.com,2psYpjl,4,84.7,23,4,23
ipinnho@addtoany.com,fBWop73V,2,80.8,50,6,25
cgottschalkhp@wufoo.com,el9unZcA9tL,10,99.7,33,2,29
rspottiswoodehq@mozilla.com,BipzxRt,4,90.5,30,1,16
mvollerhr@mac.com,nWtXGznAqzW,6,68.6,44,3,27
fcossellhs@list-manage.com,afT5wl6TS,2,94.8,41,7,16
kurreyht@newyorker.com,8OKsqliqvD,6,78.8,31,2,22
bpavlovhu@redcross.org,TVKxCTuG8LQV,4,97.3,23,7,20
tmahonyhv@cnn.com,wKdsqW8Cx8,9,99.2,49,5,23
lbiscombhw@a8.net,WPDx4kSLTT8,10,84.4,30,5,24
mkeesehx@g.co,jnYxJbuwtrd1,8,81.8,21,2,18
jhaxbyhy@booking.com,1HzaPwsb,7,86.2,42,5,16
acornshz@goo.gl,kwdR2H,2,73.6,40,7,11
zandreasseni0@mysql.com,KevD9wxJl,9,79.5,30,7,30
lkirkbyi1@clickbank.net,eeghPPfs,9,85.9,30,1,29
llashbrooki2@senate.gov,0ohEPnHv8SU,9,74,30,1,17
rmarzelei3@51.la,oWigBZJQ8,8,81.9,20,2,30
adeguei4@loc.gov,qbfRW4J,7,84.3,35,1,27
khanburryi5@bravesites.com,wt9hjJ1KZ,12,76.5,38,5,10
ftallenti6@eepurl.com,L0UfLQLU,7,80.4,23,1,23
mlangstonei7@patch.com,cLVAUXCo6g,8,94.6,29,6,26
vgasgarthi8@admin.ch,49117ds,1,81.5,44,5,30
ttosdevini9@nih.gov,7u8iF2,4,85.5,20,4,15
sassandriia@oracle.com,e3VcMwSSnDe,7,76,31,7,29
jcorpeib@bbb.org,U6E1cQrsk,7,97.6,40,5,27
tblackieic@topsy.com,KhD0e1k5,9,72.8,45,6,10
bjarmainid@bing.com,uKSyxhR0ERNg,7,88.5,40,6,27
atabourierie@netscape.com,Vgpq8UhrOL,10,93.1,35,5,17
tdomoneif@ameblo.jp,6xh63z,3,76.2,50,3,28
nfennellig@vkontakte.ru,EDwpnKsjdfqU,10,86.2,25,6,26
mmcgiveenih@apple.com,rTgNXso8W,11,76.5,46,4,11
ghemmsii@jiathis.com,uvD2sAlURpL,4,92.4,50,4,11
cgrigoreij@si.edu,LnSoMVZJjEEJ,8,89.1,40,4,24
rnevinik@histats.com,uOcx028Q,9,67.4,45,7,25
nbartalotil@multiply.com,C1r1GCJR,11,88.7,34,3,12
gwinwrightim@4shared.com,kz8Wth1o,11,71.8,28,4,29
pmontaguein@zdnet.com,LdYeOSacQP,9,80.9,34,5,14
rhedderlyio@tinyurl.com,KJvyw3,3,68.8,47,3,17
rbeefonip@google.it,2Me5lZB6IwuX,3,99.5,38,7,30
kbosketiq@cmu.edu,mRGtvwtuC,2,79.7,45,7,27
abeaneyir@timesonline.co.uk,xzf7RBHw,8,90.9,40,2,11
rlongshawis@twitter.com,YWcM8R7G,8,72.8,40,5,13
adonizeauit@wikipedia.org,VdILM2khT,3,80.7,31,1,10
kgillettiu@livejournal.com,K0iyEi,8,84.7,21,1,12
tkingerbyiv@a8.net,RFWS6Fp1oFH,7,97.7,40,2,27
hyveniw@barnesandnoble.com,YoTD2mk2H0G6,3,68.6,39,2,16
sclellandix@nps.gov,80nbG24vdN,5,90.1,41,6,26
ddohertyiy@naver.com,w7ER00,3,93.9,20,1,24
psealsiz@barnesandnoble.com,T1shtspnm,12,69.6,39,4,30
bmckeaneyj0@admin.ch,lGeuTcv,1,88.5,43,7,29
aschonfelderj1@aboutads.info,d73epgTeVb,4,96.6,46,7,24
dallchornej2@google.com.br,EhHvVBFDPeX,3,97.5,22,3,27
ehawsonj3@soup.io,cRBhv4Ho5A,4,95.4,32,7,21
rkingzettj4@digg.com,a0KHPTH,3,67.4,30,6,18
tgaffneyj5@wikia.com,xHYoSrqFFF,4,98,38,7,26
astanesj6@tuttocitta.it,7qtktqvYAL,8,88.2,34,1,13
etomczykowskij7@typepad.com,WX0CDsc35c,8,99.7,40,3,21
bzinij8@boston.com,mq5ezpw5Rmm,10,79.8,33,7,19
sdykaj9@yahoo.co.jp,AyKgKkF0xVmN,9,85.4,33,7,19
sathoweja@cnn.com,3jo2fLeszhF1,5,84.5,43,1,27
mdcostajb@gmpg.org,u7H0ljVaU,4,76.1,34,3,10
lchildersjc@google.co.jp,uSxCzGG,5,92.9,26,2,29
rmartinetsjd@cnbc.com,IvTr0vR,3,69.9,39,4,19
acheccije@hugedomains.com,AXmwar,1,70.8,24,7,10
rfallensjf@ft.com,ZEE5bTSYi,10,83.6,46,7,25
llegassickjg@sourceforge.net,0L2P4Mk8CIX,7,73.2,28,2,21
bwoodisonjh@irs.gov,s4BYgLrl2Wjm,5,76.6,50,4,20
dsprakesji@tripod.com,JF5IBa,6,89.2,36,5,27
rlawrancejj@g.co,eQen4dOd,5,69.1,42,4,25
nhatonjk@vinaora.com,KRdFptlyruhx,1,81.3,28,1,10
cstelljesjl@loc.gov,Sqkm1DeDKC4g,1,76.5,25,5,28
jsayesjm@xing.com,AiEmi5,10,91.7,27,4,22
mnajafianjn@bloglovin.com,tV5Tcvc,2,70.9,42,2,23
mconrathjo@squarespace.com,CT26cC,7,82.1,42,4,17
tkernesjp@nsw.gov.au,QSNOUNGksz,2,97,26,3,11
rfurmanjq@usa.gov,NJdYIO,3,85.6,28,1,29
omonkjr@fastcompany.com,rQeF240,3,98.3,44,6,10
whartnelljs@bluehost.com,53Fj6dRX,8,68.6,46,2,13
snursejt@mit.edu,ZwKZy9x1M,9,73.1,21,7,21
vmadginju@slate.com,AlDxg17,12,75.7,46,3,14
emcgrottyjv@slashdot.org,C2nnKCHGkYGk,9,77.7,50,2,22
ebuckseyjw@linkedin.com,YUxbz9XA1h,3,70.4,23,5,18
rbaldamjx@blogger.com,NPLNRIb4,11,93.1,38,3,24
cnewarkjy@archive.org,0rseUcvTl1l,12,76.1,30,6,13
cbellonjz@gizmodo.com,nSwYQMYnq,2,67.9,21,6,23
jdownsek0@geocities.jp,1rFiUL4,6,94.4,48,4,22
eguinank1@desdev.cn,rdZpH4JkqK7F,7,72.1,21,4,30
cjessek2@craigslist.org,NoCWH0D,1,89.9,48,3,13
bbrakewellk3@ow.ly,deH5dkHss,9,76,24,7,18
hhendrenk4@behance.net,GpliA6AhtF,6,93.4,36,2,10
mdootsonk5@admin.ch,o9gYVvzGLMiI,3,76.4,38,7,20
woenk6@wordpress.org,mDiGL70nGe,8,80.6,48,2,10
mstlouisk7@vistaprint.com,CJFKZTGL7,3,76.2,27,5,21
aallottk8@biglobe.ne.jp,3CT54HZk4PUL,3,70.2,47,5,21
swagstaffk9@oakley.com,jY2I76EyZ,7,87.6,42,4,26
bswanwickka@deliciousdays.com,1A1p2S2We,11,94.9,32,1,20
avandrillkb@unesco.org,jaS4LFo,3,67.8,50,6,11
tpedycankc@biblegateway.com,IG0ms7,10,80.2,21,5,30
blesmondekd@sciencedaily.com,ayUoxlxg,5,86.5,33,2,23
greanke@goodreads.com,hwjUmIuGYFE,7,69.7,20,4,28
tphilippardkf@sciencedirect.com,Pv9RExfeJ47p,5,69.2,20,6,20
hmulryankg@dot.gov,BfuwNWR3y,4,99.7,30,7,18
salberskh@bizjournals.com,CUyNt0,4,71.3,27,7,15
mshutleki@tamu.edu,HKC6yUnE,9,95.7,50,5,10
fjenkingkj@patch.com,OvhBCV,11,77.9,47,1,24
nsiddelekk@npr.org,PS1M1VeKOv,10,73.9,25,3,20
gsawneykl@dyndns.org,a0GbjCujN,11,67.9,36,5,29
cgavaghankm@hugedomains.com,NpgI8lnrJlEh,1,75.6,46,3,26
kbelchampkn@histats.com,alvBl88hZA,7,89.3,43,5,26
adalgettyko@oracle.com,nO256w5NpA,6,85.8,23,2,27
ereckkp@plala.or.jp,0T5xRm6F,3,95.5,35,4,17
psalamonkq@comcast.net,SV738WmVvC,4,92.7,46,7,21
rskurmkr@earthlink.net,ibYS8VLc8J8s,4,92.8,26,2,30
alarensonks@state.gov,5qpvUM,6,67.7,32,6,20
ssawbridgekt@mtv.com,i1zzQsKU,11,68,41,2,30
smcbratneyku@bbc.co.uk,Gaen6cqW,10,83,49,3,22
jsteenkv@biglobe.ne.jp,zdqi5IB7kMzQ,11,87.1,34,6,19
lcummungskw@soundcloud.com,T08H1pRpHYpl,1,99.8,39,7,17
hrussonkx@amazon.com,24wxNu1il,7,98.4,47,3,17
icalleyky@mayoclinic.com,pvhXqiGH2to1,2,72.8,25,1,15
rseagrovekz@soup.io,QJHg4kIGI,2,86.9,29,6,10
sguitell0@cdc.gov,A2Th9fYiny,6,95,23,6,24
bjirickl1@cbslocal.com,KEFO6nc3zZHd,10,70.8,29,3,24
ltestol2@networkadvertising.org,XYCZbOThQJWn,1,74.5,39,2,14
aberthel3@people.com.cn,NWcaKNo,8,82.9,48,4,17
stommasettil4@example.com,sInUfQHApa,1,77,27,4,14
hbearwardl5@chron.com,KeaUPZZau,1,69.7,48,6,21
msnodayl6@xrea.com,nAGC2hxblNc9,2,73.8,31,2,15
flyonsl7@yellowbook.com,0jNbtOI,3,68,38,4,16
eiannellol8@census.gov,ft7LzRbvgQzt,6,94.2,49,5,26
lstrowtherl9@rakuten.co.jp,FVbsuU,9,81.2,33,4,18
afischerla@irs.gov,9ZgRPLKGwb,6,77.9,35,4,28
jcordeylb@goo.gl,8zSSAUD6m,12,80.3,23,1,14
cdomaneklc@psu.edu,SSrXCpiqtKS,2,94.9,29,3,24
rheasleyld@technorati.com,nfBxnXjxq3,3,96.6,46,4,19
tvanhallele@joomla.org,jJowvo0N0,11,95.6,31,3,20
bdaleylf@vk.com,75Lar3c0H,11,76.8,44,6,17
dhanwrightlg@spiegel.de,dGrfVIkGZjuy,11,72.2,50,4,22
lprivettlh@noaa.gov,zg7zdHMz,2,80.6,43,7,16
akittmanli@wiley.com,DEvZm3SCEara,8,93.6,31,6,10
bkeavylj@discovery.com,IRgUkTW4KBOt,5,81.6,32,6,22
lhuglelk@dropbox.com,0pzGsg,12,73,31,2,11
nborrowmanll@topsy.com,58syjV,10,86.2,23,3,11
nabbielm@nydailynews.com,3pZXJZwH,7,77.3,24,7,13
hmenichiniln@dailymail.co.uk,SFA3ym5SfB,1,80.5,36,7,23
parcaselo@ning.com,yFirQxOI7d7,9,71.6,26,7,23
bsisnettlp@microsoft.com,pdZR0c6uR,8,68.5,41,4,18
rantonnikovlq@berkeley.edu,ndLkbYC2Kpu,8,96.4,44,5,26
smcdonaldlr@rakuten.co.jp,vv6p1mhPB,8,87.6,49,1,17
mlandalls@360.cn,7LdRc5,9,95.3,49,1,26
pgarnsworthlt@statcounter.com,rT5B5eFmJe,6,87.8,27,3,10
tvanbruggenlu@ucoz.ru,t07gqc4Fwp76,6,72.3,34,7,28
cmatherlv@nationalgeographic.com,dn5Md5u1Cr,5,67.5,31,5,29
